,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",286255,218457,67798
"Bronx County, New York: Summary level: 050, state:36> county:005",1349931,1161978,187953
"Broome County, New York: Summary level: 050, state:36> county:007",188760,144720,44040
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77221,62749,14472
"Cayuga County, New York: Summary level: 050, state:36> county:011",75946,62433,13513
"Chautauqua County, New York: Summary level: 050, state:36> county:013",127712,103205,24507
"Chemung County, New York: Summary level: 050, state:36> county:015",80505,63900,16605
"Clinton County, New York: Summary level: 050, state:36> county:019",74265,58550,15715
"Dutchess County, New York: Summary level: 050, state:36> county:027",279420,233023,46397
"Erie County, New York: Summary level: 050, state:36> county:029",889459,710986,178473
"Jefferson County, New York: Summary level: 050, state:36> county:045",111410,92609,18801
"Kings County, New York: Summary level: 050, state:36> county:047",2495350,2054560,440790
"Livingston County, New York: Summary level: 050, state:36> county:051",58911,47555,11356
"Madison County, New York: Summary level: 050, state:36> county:053",68071,56163,11908
"Monroe County, New York: Summary level: 050, state:36> county:055",718388,573955,144433
"Nassau County, New York: Summary level: 050, state:36> county:059",1323522,1191363,132159
"New York County, New York: Summary level: 050, state:36> county:061",1543593,975598,567995
"Niagara County, New York: Summary level: 050, state:36> county:063",211657,170407,41250
"Oneida County, New York: Summary level: 050, state:36> county:065",220812,178097,42715
"Onondaga County, New York: Summary level: 050, state:36> county:067",446648,358722,87926
"Ontario County, New York: Summary level: 050, state:36> county:069",104431,86685,17746
"Orange County, New York: Summary level: 050, state:36> county:071",362648,318848,43800
"Oswego County, New York: Summary level: 050, state:36> county:075",117816,96637,21179
"Putnam County, New York: Summary level: 050, state:36> county:079",97805,86963,10842
"Queens County, New York: Summary level: 050, state:36> county:081",2220640,1890179,330461
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153548,123350,30198
"Richmond County, New York: Summary level: 050, state:36> county:085",461543,414662,46881
"Rockland County, New York: Summary level: 050, state:36> county:087",308223,283107,25116
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",100113,82653,17460
"Saratoga County, New York: Summary level: 050, state:36> county:091",216622,177260,39362
"Schenectady County, New York: Summary level: 050, state:36> county:093",150381,121257,29124
"Steuben County, New York: Summary level: 050, state:36> county:101",97304,79572,17732
"Suffolk County, New York: Summary level: 050, state:36> county:103",1468506,1318596,149910
"Sullivan County, New York: Summary level: 050, state:36> county:105",72836,59795,13041
"Tompkins County, New York: Summary level: 050, state:36> county:109",88721,63114,25607
"Ulster County, New York: Summary level: 050, state:36> county:111",169851,136925,32926
"Warren County, New York: Summary level: 050, state:36> county:113",64958,54524,10434
"Wayne County, New York: Summary level: 050, state:36> county:117",91559,77230,14329
"Westchester County, New York: Summary level: 050, state:36> county:119",926826,802938,123888
