,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",124144
"Bronx County, New York: Summary level: 050, state:36> county:005",503985
"Broome County, New York: Summary level: 050, state:36> county:007",78604
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32360
"Cayuga County, New York: Summary level: 050, state:36> county:011",30870
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51985
"Chemung County, New York: Summary level: 050, state:36> county:015",32247
"Clinton County, New York: Summary level: 050, state:36> county:019",31493
"Dutchess County, New York: Summary level: 050, state:36> county:027",106043
"Erie County, New York: Summary level: 050, state:36> county:029",386396
"Jefferson County, New York: Summary level: 050, state:36> county:045",41548
"Kings County, New York: Summary level: 050, state:36> county:047",956223
"Livingston County, New York: Summary level: 050, state:36> county:051",24725
"Madison County, New York: Summary level: 050, state:36> county:053",26024
"Monroe County, New York: Summary level: 050, state:36> county:055",301619
"Nassau County, New York: Summary level: 050, state:36> county:059",446978
"New York County, New York: Summary level: 050, state:36> county:061",764218
"Niagara County, New York: Summary level: 050, state:36> county:063",88659
"Oneida County, New York: Summary level: 050, state:36> county:065",88790
"Onondaga County, New York: Summary level: 050, state:36> county:067",185709
"Ontario County, New York: Summary level: 050, state:36> county:069",44414
"Orange County, New York: Summary level: 050, state:36> county:071",127517
"Oswego County, New York: Summary level: 050, state:36> county:075",45971
"Putnam County, New York: Summary level: 050, state:36> county:079",34549
"Queens County, New York: Summary level: 050, state:36> county:081",769258
"Rensselaer County, New York: Summary level: 050, state:36> county:083",66127
"Richmond County, New York: Summary level: 050, state:36> county:085",165990
"Rockland County, New York: Summary level: 050, state:36> county:087",100167
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41008
"Saratoga County, New York: Summary level: 050, state:36> county:091",97021
"Schenectady County, New York: Summary level: 050, state:36> county:093",49022
"Steuben County, New York: Summary level: 050, state:36> county:101",38382
"Suffolk County, New York: Summary level: 050, state:36> county:103",482099
"Sullivan County, New York: Summary level: 050, state:36> county:105",25916
"Tompkins County, New York: Summary level: 050, state:36> county:109",40230
"Ulster County, New York: Summary level: 050, state:36> county:111",68822
"Warren County, New York: Summary level: 050, state:36> county:113",27595
"Wayne County, New York: Summary level: 050, state:36> county:117",36715
"Westchester County, New York: Summary level: 050, state:36> county:119",350919
