,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Albany County, New York: Summary level: 050, state:36> county:001",308846,150008,7960,7758,8350,6013,6437,3857,2963,10092,9405,9318,9226,8664,9291,10113,10537,4522,4640,2821,4609,5434,3009,2450,2539,158838,7636,7831,7641,4607,6292,3266,2309,11021,10712,10057,9119,8485,9750,10714,11306,4498,5610,3665,4974,6099,3650,3473,6123
"Bronx County, New York: Summary level: 050, state:36> county:005",1455720,686382,54575,56076,46361,30800,20650,13438,9618,34928,61191,50614,46869,37878,43288,43611,35344,15778,18917,11091,12916,16703,12238,7007,6491,769338,52837,49674,48520,29478,20539,10964,10958,35035,63682,56157,56223,43078,50406,51430,46945,16944,21933,13863,18061,24564,20623,12582,14842
"Broome County, New York: Summary level: 050, state:36> county:007",195334,95998,4942,5809,5774,3774,4075,3015,1749,4533,6227,5533,5684,3583,6110,6409,7021,3079,3459,2396,3061,3201,3018,1806,1740,99336,4987,4939,4625,3679,4273,2056,1904,5006,5278,5557,5084,5251,5884,6791,6623,2927,4209,2376,2852,4754,3809,1999,4473
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77677,38420,2434,2577,2251,1564,1218,690,505,1579,2060,2177,1894,2136,2330,2690,3064,1089,1707,786,1528,1734,1025,589,793,39257,2328,2375,2592,1475,1099,711,243,1423,2133,2048,1952,2348,2339,2719,3086,1268,1697,989,1416,1648,1431,930,1007
"Cayuga County, New York: Summary level: 050, state:36> county:011",77861,40044,1913,1988,2369,1490,1323,684,938,1275,2554,2631,2532,2136,2758,3057,3526,1105,1476,900,1606,1390,706,985,702,37817,1858,1801,2357,1656,990,385,1168,1036,2020,2120,2246,1761,2413,2796,2977,1043,1889,779,991,2150,804,936,1641
"Chautauqua County, New York: Summary level: 050, state:36> county:013",129504,63937,3664,2987,4395,2441,2449,1037,1533,2083,4259,3973,2855,3465,3681,4240,5095,1894,2944,1508,2408,2652,2118,1442,814,65567,3499,3597,3635,2479,2158,1091,931,2019,3850,3842,3133,3569,4053,4498,5483,1650,2577,1748,2852,2498,2504,1786,2115
"Chemung County, New York: Summary level: 050, state:36> county:015",86322,43024,2497,2663,2407,1576,1179,910,452,1370,3208,2271,2765,2698,2461,3285,3110,1182,2086,1028,1238,2057,986,611,984,43298,2277,2181,2741,1982,1129,627,560,1483,2440,2208,2452,2622,2605,3103,3239,1189,1649,833,2296,1753,1184,1264,1481
"Clinton County, New York: Summary level: 050, state:36> county:019",81073,41503,1835,2252,1643,1270,1559,874,554,2557,3453,2873,3239,1645,2694,3109,3220,1481,1247,960,1034,1685,1167,626,526,39570,1818,1562,2261,1133,2392,690,279,2466,2190,2158,2412,1719,2584,2905,3258,973,1592,1099,1213,1714,1140,1013,999
"Dutchess County, New York: Summary level: 050, state:36> county:027",294473,145770,5727,7939,8589,6081,5183,2558,2861,6106,9399,9235,8065,8208,10701,11832,11235,4909,5831,3246,4671,5037,4034,2493,1830,148703,7050,8164,8084,5440,6333,1902,1662,6880,7692,7542,8657,7860,10933,11891,12073,3399,6273,2908,5552,6598,4319,3863,3628
"Erie County, New York: Summary level: 050, state:36> county:029",921046,446090,25789,26982,25879,17585,12273,6893,6264,18757,35378,30144,26005,23912,28839,31779,30084,13606,19141,8505,14270,16946,10478,8349,8232,474956,24279,24214,26934,17256,12228,6536,6240,19028,33888,29804,28638,22780,30244,33438,34664,14893,19286,11328,15005,20474,15708,12356,15735
"Jefferson County, New York: Summary level: 050, state:36> county:045",114006,59129,4381,3783,3221,1996,1780,1028,1707,4868,5804,4531,3764,2931,3226,3654,2595,1389,1698,779,1357,2153,748,1095,641,54877,4493,3714,3854,2052,1139,363,658,2846,4430,4037,3576,2405,3260,3394,3231,1012,2190,1158,1337,2008,1340,1031,1349
"Kings County, New York: Summary level: 050, state:36> county:047",2629150,1247152,99756,87243,77970,46568,26862,14114,17037,53148,122098,112434,94278,80877,74939,72619,67506,27351,36662,21541,28222,32595,22702,15102,15528,1381998,94557,84405,73610,45277,26363,14411,16486,59805,130359,118775,98925,91481,85328,84828,81443,33171,44779,28622,36034,43258,34028,24104,31949
"Livingston County, New York: Summary level: 050, state:36> county:051",64257,32140,1446,1394,1948,1116,1476,933,958,1389,1884,1790,1854,1787,1972,2627,2707,861,1029,367,1140,1562,672,615,613,32117,1161,1442,1623,1097,1893,1355,948,1573,1402,1668,1205,1800,2003,2460,2538,973,1130,783,1298,1181,1075,655,854
"Madison County, New York: Summary level: 050, state:36> county:053",71329,35319,1755,1800,1954,1338,1721,913,469,1821,1970,1998,1827,1753,2531,2640,2748,1289,1292,1243,820,1377,892,495,673,36010,1515,1937,1926,1367,1728,447,1263,1411,1851,1778,2108,1777,2333,2801,2800,845,1655,1085,1324,1211,1136,766,946
"Monroe County, New York: Summary level: 050, state:36> county:055",747727,361383,20967,22682,22391,14685,11929,5572,5931,15603,27644,23614,21889,18317,23409,25206,26567,9389,12900,8017,10333,13450,7975,6462,6451,386344,20414,20258,22806,13698,11283,5884,4604,16680,27656,24951,22422,20667,24899,27247,28018,9550,15369,8614,12537,16401,11648,9113,11625
"Nassau County, New York: Summary level: 050, state:36> county:059",1361500,661023,37658,42588,42976,28675,17544,9716,10217,24886,40765,37993,38720,40715,46231,50214,50079,18863,23486,14801,19723,24236,15102,11598,14237,700477,35852,40236,41112,27057,16669,8030,8912,27054,38827,38255,39560,43442,49441,54157,54375,20361,25068,16539,22286,28763,18967,18403,27111
"New York County, New York: Summary level: 050, state:36> county:061",1643734,779699,41169,32419,30637,17294,15344,7671,8977,37215,91481,86669,68157,50763,53029,50895,42140,16996,28978,14027,19836,24248,15164,12939,13651,864035,39706,31919,30102,17490,20332,9936,11108,41614,104036,90149,65077,55184,52382,50669,50961,20635,26977,20330,24873,33728,22971,17600,26256
"Niagara County, New York: Summary level: 050, state:36> county:063",211758,103889,5434,5356,7124,4657,3340,1032,1514,3725,6644,5581,6618,5155,6891,7926,7837,3753,4535,2411,4272,3547,2609,2678,1250,107869,5316,4987,6331,3614,2422,1322,636,4048,7171,5913,6045,6201,7319,8310,8308,3172,5174,3089,4098,4494,3187,3070,3642
"Oneida County, New York: Summary level: 050, state:36> county:065",231190,114737,6911,8395,5356,4071,4278,1609,1458,4800,7079,7568,6179,6210,7566,9024,8687,2929,4191,2781,3560,4632,2364,2466,2623,116453,6211,7150,6911,3873,2996,1605,1379,4634,7013,6554,6132,6509,7206,8281,9084,2714,4980,2650,4594,4565,3264,4070,4078
"Onondaga County, New York: Summary level: 050, state:36> county:067",466194,224766,13506,14396,14553,8685,8221,2580,3046,10190,15525,14490,14256,11194,14308,16185,17135,5953,8250,4352,6378,8476,5599,3084,4404,241428,12690,13656,13868,9211,9022,3430,3155,9699,15820,15301,15311,12294,14731,17269,18071,6981,8533,5525,8401,8656,6723,5585,7496
"Ontario County, New York: Summary level: 050, state:36> county:069",109828,53977,2780,3042,3841,2274,1609,657,556,2161,3069,2777,2557,3125,3810,4349,3813,2055,2040,1311,1613,3104,1662,535,1237,55851,2644,2259,3830,1812,1526,587,321,2328,3123,2899,3084,3223,3911,4316,3671,2176,2575,1287,2585,2372,1723,1399,2200
"Orange County, New York: Summary level: 050, state:36> county:071",379210,189312,12399,13253,14859,9193,5828,4129,3658,9097,11239,10882,10762,11613,12924,13944,12634,3986,6807,3391,6020,4908,3298,2451,2037,189898,12238,13355,13309,8631,5318,2766,3026,6401,10815,10918,11680,11106,13466,14691,12749,3977,7553,3572,5111,7021,4568,2538,5089
"Oswego County, New York: Summary level: 050, state:36> county:075",118987,59716,3569,3393,3388,2562,2243,925,849,2704,4330,3450,3319,2919,4278,4742,5149,1447,2097,1196,2013,2149,1494,957,543,59271,3544,3554,3049,2257,2374,1174,1235,1928,3481,3284,2805,3481,4175,4644,4534,1614,2429,1330,1905,2397,1810,1085,1182
"Putnam County, New York: Summary level: 050, state:36> county:079",98900,48854,1750,2379,3685,2083,1282,516,274,2103,2848,2671,2759,3761,3722,4308,3084,1705,2565,1503,849,2504,1436,709,358,50046,1980,2814,3257,2302,817,344,450,2296,2371,2279,3035,3359,4134,4426,4268,1522,1959,1383,1507,1924,1439,1112,1068
"Queens County, New York: Summary level: 050, state:36> county:081",2333054,1131856,74539,66497,64317,38684,23906,16416,13471,43724,97981,92550,82525,79032,78950,79502,77054,27064,36565,21550,27934,33994,22675,16855,16071,1201198,70770,62935,61665,37002,22168,14521,14344,46816,99356,91686,90073,74271,81961,84213,77649,33543,44754,25606,33967,43983,32301,25697,31917
"Rensselaer County, New York: Summary level: 050, state:36> county:083",160070,78869,4001,5534,3726,2707,3244,1731,1060,3471,5775,5135,4705,3991,5585,5535,7009,1679,2766,1719,2610,2866,1525,1562,933,81201,4624,3308,5487,2586,2612,1314,951,2965,5991,5316,5089,4280,5078,6058,6282,2292,2897,1901,2854,3162,1718,1663,2773
"Richmond County, New York: Summary level: 050, state:36> county:085",476015,230553,13742,16310,14213,9686,4818,2885,3389,9543,17043,15089,14254,15147,15677,16856,15971,6315,8331,5768,5467,8468,5345,4093,2143,245462,13138,13156,15683,8974,4976,3701,2875,9015,16578,14956,15522,15466,17389,18204,17689,6309,9984,3757,8779,11083,5749,5644,6835
"Rockland County, New York: Summary level: 050, state:36> county:087",326780,159480,12088,14198,11620,7953,4073,2216,2336,7087,10032,8716,9465,8654,9782,10754,11360,3209,4542,2445,4905,5545,3781,2353,2366,167300,12897,11956,12675,7318,4860,2205,1913,6195,9194,8300,8764,10051,10353,11388,11884,3943,4390,3957,4837,6194,4162,3703,6161
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",110038,55511,2926,3024,3404,1885,2993,1572,1090,2275,3884,3193,2742,3233,3411,3900,3985,1611,2027,1436,1646,2053,1068,1088,1065,54527,2763,2757,3583,1958,3079,1721,727,2119,2900,3065,2541,3067,3280,3853,3462,1493,2387,1909,1527,1802,1783,1314,1437
"Saratoga County, New York: Summary level: 050, state:36> county:091",227053,113487,6188,7496,5811,4384,2667,1128,1282,5767,7832,6858,7462,6715,8359,8930,8521,4034,3155,2409,3990,4444,2295,1637,2123,113566,5353,7304,5499,4593,2653,1631,1021,4091,5876,6535,7269,6512,8891,9068,7940,3672,4856,2803,4487,4757,3096,2673,2986
"Schenectady County, New York: Summary level: 050, state:36> county:093",154553,74263,3359,5249,5201,2744,2174,1045,1328,3229,4682,4621,4255,5083,4600,5980,5866,1909,2403,2019,1728,2783,1423,1312,1270,80290,5819,4936,4033,2293,2533,1243,397,3141,4726,5499,4509,4475,5259,5588,6272,2161,2650,1899,3104,2675,1568,1981,3529
"Steuben County, New York: Summary level: 050, state:36> county:101",96940,48179,2646,2271,4014,2046,962,1168,444,1331,2864,2831,3043,2553,3175,3462,3912,1429,1998,1244,2017,1588,1367,1348,466,48761,2651,3178,2383,1964,1061,511,576,1735,2840,2491,3156,2392,3231,3604,4016,1398,1981,1249,1900,2062,2086,1060,1236
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492583,734100,39792,43682,49761,31820,20627,10544,9013,30911,46513,41828,45928,43079,54529,60343,53337,21860,26424,13547,22360,27033,18171,11793,11205,758483,38688,42368,46201,30821,17926,9868,12265,27220,43127,40098,43745,46022,57058,61731,53657,22641,29556,18608,24768,29820,23479,16712,22104
"Sullivan County, New York: Summary level: 050, state:36> county:105",74801,38420,2233,1975,2470,1762,1544,275,505,1399,2005,2084,1882,1998,2350,4128,2661,978,1631,1048,1540,1768,961,696,527,36381,1844,1772,2509,1494,921,876,297,1429,1554,1793,1414,2269,2165,3369,2532,1700,1334,984,1009,2266,928,915,1007
"Tompkins County, New York: Summary level: 050, state:36> county:109",104871,51667,2091,2813,2214,1392,4933,3065,1813,5174,3520,3370,1840,2668,2563,2661,2610,1305,1557,1006,1008,1929,890,728,517,53204,2168,2085,1752,1090,4801,3687,1954,3235,3795,3095,3206,2669,2747,3077,3552,1334,1618,925,1512,1843,804,868,1387
"Ulster County, New York: Summary level: 050, state:36> county:111",179225,89419,4129,5274,4237,3065,2658,948,1406,3830,5603,5667,4958,5046,6767,7331,7794,2752,2989,2098,3459,3825,2687,1764,1132,89806,3494,4527,5315,2739,2572,1800,1851,2090,5128,5004,4141,5618,6249,7058,7988,2249,3733,2592,2938,4912,2729,1834,3245
"Warren County, New York: Summary level: 050, state:36> county:113",64567,31800,1497,1244,2250,1226,583,234,662,909,1966,1866,1605,1624,2126,2397,3014,678,1597,860,1148,1888,984,883,559,32767,1617,1141,1928,1013,544,101,165,1444,1967,2141,1237,2116,2234,2713,2522,944,1648,627,1036,2426,1267,901,1035
"Wayne County, New York: Summary level: 050, state:36> county:117",90798,44497,2430,3072,2519,1798,907,223,689,1572,2320,2564,2509,2630,3545,3522,3507,1576,1730,1079,1528,2021,1158,984,614,46301,2120,3202,2451,2018,1044,387,770,1426,2217,2530,2665,2555,3500,3544,3785,1731,1622,1059,1960,2033,1094,1210,1378
"Westchester County, New York: Summary level: 050, state:36> county:119",974542,471884,28270,32235,31759,21149,13049,6286,6593,18011,26990,28340,29067,31844,34787,35382,32115,12029,17812,8909,14793,14578,11133,9335,7418,502658,26527,27689,32196,19478,13032,6229,6261,18871,26425,28134,30055,33698,36775,38193,35464,12102,20088,11213,14259,20486,16629,12221,16633
