,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159442.0,151100.0,131779.0,9662.0,192.0,4342.0,0.0,194.0,4931.0,108.0,4823.0,8342.0
"Chautauqua County, New York: Summary level: 050, state:36> county:013",,,,,,,,,,,,
"Clinton County, New York: Summary level: 050, state:36> county:019",,,,,,,,,,,,
"New York County, New York: Summary level: 050, state:36> county:061",1628701.0,1207678.0,762501.0,202788.0,2631.0,198113.0,407.0,5688.0,35550.0,2459.0,33091.0,421023.0
"Saratoga County, New York: Summary level: 050, state:36> county:091",230163.0,222444.0,207287.0,4145.0,499.0,6005.0,0.0,482.0,4026.0,207.0,3819.0,7719.0
"Tompkins County, New York: Summary level: 050, state:36> county:109",102793.0,97321.0,78960.0,4139.0,97.0,10518.0,0.0,801.0,2806.0,0.0,2806.0,5472.0
"Oneida County, New York: Summary level: 050, state:36> county:065",229577.0,215661.0,187252.0,14821.0,565.0,9598.0,0.0,0.0,3425.0,0.0,3425.0,13916.0
"Oswego County, New York: Summary level: 050, state:36> county:075",,,,,,,,,,,,
"Nassau County, New York: Summary level: 050, state:36> county:059",1358343.0,1124282.0,800985.0,155056.0,1626.0,134761.0,96.0,9210.0,22548.0,3989.0,18559.0,234061.0
"Orange County, New York: Summary level: 050, state:36> county:071",381951.0,301920.0,242321.0,39486.0,122.0,10823.0,217.0,1163.0,7788.0,0.0,7788.0,80031.0
"Rockland County, New York: Summary level: 050, state:36> county:087",325695.0,266856.0,203967.0,36123.0,301.0,19432.0,0.0,1100.0,5933.0,228.0,5705.0,58839.0
"Ontario County, New York: Summary level: 050, state:36> county:069",,,,,,,,,,,,
"Chemung County, New York: Summary level: 050, state:36> county:015",,,,,,,,,,,,
"Jefferson County, New York: Summary level: 050, state:36> county:045",111755.0,103055.0,90724.0,6357.0,53.0,1516.0,217.0,0.0,4188.0,52.0,4136.0,8700.0
"Erie County, New York: Summary level: 050, state:36> county:029",919719.0,867310.0,690760.0,118598.0,3682.0,34043.0,22.0,1050.0,19155.0,656.0,18499.0,52409.0
"Ulster County, New York: Summary level: 050, state:36> county:111",178599.0,159814.0,139988.0,9713.0,155.0,2954.0,0.0,923.0,6081.0,61.0,6020.0,18785.0
"Westchester County, New York: Summary level: 050, state:36> county:119",967612.0,724351.0,511494.0,130197.0,1270.0,58582.0,0.0,4348.0,18460.0,546.0,17914.0,243261.0
"Warren County, New York: Summary level: 050, state:36> county:113",,,,,,,,,,,,
"Niagara County, New York: Summary level: 050, state:36> county:063",,,,,,,,,,,,
"Putnam County, New York: Summary level: 050, state:36> county:079",,,,,,,,,,,,
"Livingston County, New York: Summary level: 050, state:36> county:051",,,,,,,,,,,,
"Suffolk County, New York: Summary level: 050, state:36> county:103",1481093.0,1188204.0,992720.0,109202.0,1547.0,58610.0,101.0,2737.0,23287.0,2530.0,20757.0,292889.0
"Cayuga County, New York: Summary level: 050, state:36> county:011",,,,,,,,,,,,
"Kings County, New York: Summary level: 050, state:36> county:047",2582830.0,2090130.0,935684.0,771373.0,3883.0,298567.0,1141.0,11734.0,67748.0,5174.0,62574.0,492700.0
"Onondaga County, New York: Summary level: 050, state:36> county:067",461809.0,438380.0,353347.0,53225.0,2701.0,15880.0,74.0,439.0,12714.0,394.0,12320.0,23429.0
"Albany County, New York: Summary level: 050, state:36> county:001",307117.0,288379.0,219970.0,35120.0,282.0,21445.0,834.0,765.0,9963.0,163.0,9800.0,18738.0
"Madison County, New York: Summary level: 050, state:36> county:053",,,,,,,,,,,,
"Queens County, New York: Summary level: 050, state:36> county:081",2278906.0,1639294.0,563400.0,392589.0,6153.0,585745.0,822.0,37501.0,53084.0,13115.0,39969.0,639612.0
"Wayne County, New York: Summary level: 050, state:36> county:117",,,,,,,,,,,,
"Bronx County, New York: Summary level: 050, state:36> county:005",1432132.0,624904.0,127874.0,413932.0,2888.0,51634.0,0.0,9567.0,19009.0,3343.0,15666.0,807228.0
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",108047.0,105462.0,98974.0,2777.0,841.0,1028.0,262.0,391.0,1189.0,0.0,1189.0,2585.0
"Richmond County, New York: Summary level: 050, state:36> county:085",476179.0,387291.0,286360.0,42991.0,41.0,48553.0,0.0,768.0,8578.0,817.0,7761.0,88888.0
"Schenectady County, New York: Summary level: 050, state:36> county:093",155350.0,143901.0,113356.0,13751.0,1502.0,6931.0,220.0,1283.0,6858.0,1087.0,5771.0,11449.0
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",,,,,,,,,,,,
"Monroe County, New York: Summary level: 050, state:36> county:055",742474.0,675409.0,521002.0,106371.0,1330.0,27607.0,133.0,2294.0,16672.0,643.0,16029.0,67065.0
"Sullivan County, New York: Summary level: 050, state:36> county:105",,,,,,,,,,,,
"Broome County, New York: Summary level: 050, state:36> county:007",,,,,,,,,,,,
"Dutchess County, New York: Summary level: 050, state:36> county:027",293718.0,257048.0,208199.0,29738.0,265.0,9769.0,0.0,1333.0,7744.0,140.0,7604.0,36670.0
"Steuben County, New York: Summary level: 050, state:36> county:101",,,,,,,,,,,,
