,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",206800,137598
"Bronx County, New York: Summary level: 050, state:36> county:005",369400,516474
"Broome County, New York: Summary level: 050, state:36> county:007",107700,89698
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",85000,40799
"Cayuga County, New York: Summary level: 050, state:36> county:011",119800,36243
"Chautauqua County, New York: Summary level: 050, state:36> county:013",85700,66496
"Chemung County, New York: Summary level: 050, state:36> county:015",96500,38264
"Clinton County, New York: Summary level: 050, state:36> county:019",121200,35745
"Dutchess County, New York: Summary level: 050, state:36> county:027",274000,118648
"Erie County, New York: Summary level: 050, state:36> county:029",127600,419328
"Jefferson County, New York: Summary level: 050, state:36> county:045",143800,58148
"Kings County, New York: Summary level: 050, state:36> county:047",557000,1006081
"Livingston County, New York: Summary level: 050, state:36> county:051",129800,27060
"Madison County, New York: Summary level: 050, state:36> county:053",135300,31627
"Monroe County, New York: Summary level: 050, state:36> county:055",139900,320960
"Nassau County, New York: Summary level: 050, state:36> county:059",436000,466109
"New York County, New York: Summary level: 050, state:36> county:061",848600,852642
"Niagara County, New York: Summary level: 050, state:36> county:063",106100,98879
"Oneida County, New York: Summary level: 050, state:36> county:065",113600,103566
"Onondaga County, New York: Summary level: 050, state:36> county:067",132400,203694
"Ontario County, New York: Summary level: 050, state:36> county:069",145900,48676
"Orange County, New York: Summary level: 050, state:36> county:071",259300,138871
"Oswego County, New York: Summary level: 050, state:36> county:075",92700,53445
"Putnam County, New York: Summary level: 050, state:36> county:079",355900,38215
"Queens County, New York: Summary level: 050, state:36> county:081",439500,841254
"Rensselaer County, New York: Summary level: 050, state:36> county:083",172200,71517
"Richmond County, New York: Summary level: 050, state:36> county:085",432600,178035
"Rockland County, New York: Summary level: 050, state:36> county:087",413400,104167
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",82400,51980
"Saratoga County, New York: Summary level: 050, state:36> county:091",230600,100683
"Schenectady County, New York: Summary level: 050, state:36> county:093",165200,68039
"Steuben County, New York: Summary level: 050, state:36> county:101",90900,48626
"Suffolk County, New York: Summary level: 050, state:36> county:103",368400,568986
"Sullivan County, New York: Summary level: 050, state:36> county:105",167300,49309
"Tompkins County, New York: Summary level: 050, state:36> county:109",173100,41800
"Ulster County, New York: Summary level: 050, state:36> county:111",218500,83477
"Warren County, New York: Summary level: 050, state:36> county:113",186300,38807
"Wayne County, New York: Summary level: 050, state:36> county:117",118000,40864
"Westchester County, New York: Summary level: 050, state:36> county:119",493800,369230
