,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",864,58736,31014,121119,9296,5652,5832,6326,5231,4770,3567,6707,4007,10493,13510,16683,10980,7215,6715,4135
"Bronx County, New York: Summary level: 050, state:36> county:005",1019,32460,17603,475978,83168,44010,36831,31741,25843,28192,23319,22830,18381,33827,32796,41900,23084,12084,11085,6887
"Broome County, New York: Summary level: 050, state:36> county:007",680,45175,24948,81687,6289,5760,5339,5692,4277,5049,3932,4358,4152,5242,8462,9660,5657,3291,2727,1800
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",597,43468,21470,32347,1832,2358,2621,2261,2001,1633,2339,1625,1763,3385,3895,3069,2014,753,461,337
"Cayuga County, New York: Summary level: 050, state:36> county:011",652,50073,23797,30354,1800,1534,1292,2518,1643,1379,1209,1593,2184,3183,3104,4545,2194,937,762,477
"Chautauqua County, New York: Summary level: 050, state:36> county:013",601,41376,22671,51814,5423,3716,3703,3251,2978,3089,2614,3460,2233,4858,4637,5490,2805,1443,1199,915
"Chemung County, New York: Summary level: 050, state:36> county:015",647,45974,22979,34867,2216,2731,2736,2769,2281,2047,1480,948,1007,3182,3832,3796,3190,1106,1236,310
"Clinton County, New York: Summary level: 050, state:36> county:019",693,52161,25736,32451,2571,1804,2104,1267,1837,1749,1474,1735,1190,3131,2625,4621,2925,1677,1002,739
"Dutchess County, New York: Summary level: 050, state:36> county:027",1064,66754,32405,107106,4362,4926,4452,4556,4392,4766,4446,3772,4334,7976,11033,15063,10384,7746,8744,6154
"Erie County, New York: Summary level: 050, state:36> county:029",699,50506,27469,379094,33339,22002,22769,21203,19212,19871,16550,17735,14806,30212,38642,49247,32260,15711,15039,10496
"Jefferson County, New York: Summary level: 050, state:36> county:045",927,46558,22544,45845,3036,2787,2695,2621,3549,2336,2088,2965,2331,4030,5782,5130,2963,1683,1260,589
"Kings County, New York: Summary level: 050, state:36> county:047",1151,45230,24190,919333,111030,66684,58336,49872,45407,41936,41241,43700,31119,67954,85416,93370,64946,38892,40098,39332
"Livingston County, New York: Summary level: 050, state:36> county:051",681,53123,22837,24038,1489,1355,1238,1119,1522,1105,1138,1039,1175,2457,2945,3360,2146,1002,797,151
"Madison County, New York: Summary level: 050, state:36> county:053",703,47989,24071,25991,2205,1546,1120,1066,1212,1360,1429,2084,1420,2439,2899,3077,1322,1068,1084,660
"Monroe County, New York: Summary level: 050, state:36> county:055",790,50733,27948,298715,25428,16590,15510,16497,14655,17045,12107,15259,14215,24125,29785,36744,23332,14344,13103,9976
"Nassau County, New York: Summary level: 050, state:36> county:059",1462,93214,39933,441732,14019,9703,12919,12418,12912,13488,12600,14001,13050,22583,38794,54835,54564,39132,51795,64919
"New York County, New York: Summary level: 050, state:36> county:061",1450,67099,60290,746686,76718,41003,34225,29589,22717,27520,20827,23228,20053,41984,63700,72564,62103,36656,51272,122527
"Niagara County, New York: Summary level: 050, state:36> county:063",651,48464,26104,88995,6703,5661,4814,4830,5942,5191,5075,3737,3214,8092,10275,9319,7088,4196,3160,1698
"Oneida County, New York: Summary level: 050, state:36> county:065",669,46728,25304,90571,8065,5438,6094,5435,4778,5538,3733,4908,3796,7727,10815,9906,5771,3181,2696,2690
"Onondaga County, New York: Summary level: 050, state:36> county:067",739,52522,27951,185985,15568,10280,11425,9237,8511,9028,7687,8649,6891,17350,20549,21830,15383,9694,7781,6122
"Ontario County, New York: Summary level: 050, state:36> county:069",788,52338,26947,44328,2111,2388,2518,3178,2590,2092,1915,1648,2395,4302,4397,5782,3946,2154,1922,990
"Orange County, New York: Summary level: 050, state:36> county:071",1103,66458,29397,125228,6660,5897,4886,5989,4819,5388,4419,4802,3682,9361,11791,17566,13138,9250,9143,8437
"Oswego County, New York: Summary level: 050, state:36> county:075",690,46961,22861,45480,3420,2588,2470,2611,2403,3249,2502,2395,2582,3305,5290,5210,3647,1770,1410,628
"Putnam County, New York: Summary level: 050, state:36> county:079",1250,96223,40356,34050,886,1169,779,1071,410,1777,693,853,799,2016,2844,4553,3944,3683,3783,4790
"Queens County, New York: Summary level: 050, state:36> county:081",1305,54713,25352,780349,60763,34576,42642,44227,37333,37196,34353,32543,32637,63196,81185,99172,69827,39276,43915,27508
"Rensselaer County, New York: Summary level: 050, state:36> county:083",840,60653,29887,64581,3951,3171,2813,3411,2484,2395,3301,2493,2627,5245,7109,9809,5300,5029,3376,2067
"Richmond County, New York: Summary level: 050, state:36> county:085",1115,70963,29939,163468,12075,7136,5443,6814,5895,5078,5270,6255,4680,11289,16367,24493,19111,11802,13792,7968
"Rockland County, New York: Summary level: 050, state:36> county:087",1277,82677,33091,97934,4234,3921,4683,3014,2656,3550,2720,3567,2688,6033,7187,14228,9865,8448,10428,10712
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",670,42010,23082,42436,4287,2689,2757,2408,3036,2722,2524,1908,2066,3738,4268,4527,2381,1163,1046,916
"Saratoga County, New York: Summary level: 050, state:36> county:091",959,66757,34109,87414,2580,2822,2971,4188,4767,3913,3200,2949,3228,7766,10471,11696,10054,6698,5717,4394
"Schenectady County, New York: Summary level: 050, state:36> county:093",792,56293,28324,57463,4061,3721,3088,3029,2519,2350,2598,2714,1457,4510,6935,7964,4951,2477,2960,2129
"Steuben County, New York: Summary level: 050, state:36> county:101",630,46445,24502,41597,3145,2758,2342,2122,2870,1720,2525,2636,2363,3263,5327,4532,2497,1610,1087,800
"Suffolk County, New York: Summary level: 050, state:36> county:103",1482,86334,36279,496353,18475,13781,14502,16001,14918,14581,14587,17344,14735,29481,45626,69591,60933,42802,54882,54114
"Sullivan County, New York: Summary level: 050, state:36> county:105",804,46796,24418,29222,2332,2066,2334,2103,1612,1168,1454,965,1446,2528,2844,3714,1832,923,1176,725
"Tompkins County, New York: Summary level: 050, state:36> county:109",976,49930,28819,38269,4642,1791,1330,2457,2174,1085,1712,1539,2434,2154,4457,3532,2778,2133,1581,2470
"Ulster County, New York: Summary level: 050, state:36> county:111",969,57566,30683,70353,3817,3254,4360,4328,2927,3414,2809,3246,2547,5890,6951,10309,5937,4424,3183,2957
"Warren County, New York: Summary level: 050, state:36> county:113",849,54184,29642,27530,1644,1441,1312,1882,1486,1155,1414,1070,907,3483,2839,3589,1565,1181,1714,848
"Wayne County, New York: Summary level: 050, state:36> county:117",638,48036,24305,37027,2850,1448,1578,2102,2455,2369,2497,1687,2350,3285,3397,5017,2309,1913,1191,579
"Westchester County, New York: Summary level: 050, state:36> county:119",1299,77293,45803,340097,17782,11438,13948,14573,11029,12334,13242,10830,10235,22504,27872,37879,29639,21279,29951,55562
