,Total,Owner occupied,Renter occupied
"Albany County, New York: Summary level: 050, state:36> county:001",124144,70645,53499
"Bronx County, New York: Summary level: 050, state:36> county:005",503985,96497,407488
"Broome County, New York: Summary level: 050, state:36> county:007",78604,51139,27465
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",32360,22695,9665
"Cayuga County, New York: Summary level: 050, state:36> county:011",30870,22335,8535
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51985,36759,15226
"Chemung County, New York: Summary level: 050, state:36> county:015",32247,21599,10648
"Clinton County, New York: Summary level: 050, state:36> county:019",31493,19928,11565
"Dutchess County, New York: Summary level: 050, state:36> county:027",106043,74491,31552
"Erie County, New York: Summary level: 050, state:36> county:029",386396,247993,138403
"Jefferson County, New York: Summary level: 050, state:36> county:045",41548,23230,18318
"Kings County, New York: Summary level: 050, state:36> county:047",956223,290792,665431
"Livingston County, New York: Summary level: 050, state:36> county:051",24725,18929,5796
"Madison County, New York: Summary level: 050, state:36> county:053",26024,20310,5714
"Monroe County, New York: Summary level: 050, state:36> county:055",301619,190129,111490
"Nassau County, New York: Summary level: 050, state:36> county:059",446978,357884,89094
"New York County, New York: Summary level: 050, state:36> county:061",764218,188435,575783
"Niagara County, New York: Summary level: 050, state:36> county:063",88659,63364,25295
"Oneida County, New York: Summary level: 050, state:36> county:065",88790,59321,29469
"Onondaga County, New York: Summary level: 050, state:36> county:067",185709,118830,66879
"Ontario County, New York: Summary level: 050, state:36> county:069",44414,32877,11537
"Orange County, New York: Summary level: 050, state:36> county:071",127517,89121,38396
"Oswego County, New York: Summary level: 050, state:36> county:075",45971,33015,12956
"Putnam County, New York: Summary level: 050, state:36> county:079",34549,28806,5743
"Queens County, New York: Summary level: 050, state:36> county:081",769258,340570,428688
"Rensselaer County, New York: Summary level: 050, state:36> county:083",66127,41619,24508
"Richmond County, New York: Summary level: 050, state:36> county:085",165990,115499,50491
"Rockland County, New York: Summary level: 050, state:36> county:087",100167,67461,32706
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",41008,30545,10463
"Saratoga County, New York: Summary level: 050, state:36> county:091",97021,68673,28348
"Schenectady County, New York: Summary level: 050, state:36> county:093",49022,34103,14919
"Steuben County, New York: Summary level: 050, state:36> county:101",38382,29181,9201
"Suffolk County, New York: Summary level: 050, state:36> county:103",482099,389864,92235
"Sullivan County, New York: Summary level: 050, state:36> county:105",25916,17063,8853
"Tompkins County, New York: Summary level: 050, state:36> county:109",40230,22242,17988
"Ulster County, New York: Summary level: 050, state:36> county:111",68822,48219,20603
"Warren County, New York: Summary level: 050, state:36> county:113",27595,20160,7435
"Wayne County, New York: Summary level: 050, state:36> county:117",36715,27023,9692
"Westchester County, New York: Summary level: 050, state:36> county:119",350919,212819,138100
